plant,run_duration_seconds,max_concurrent_runs,observation_period_seconds,variable_cost,candidate,label,recovery_to_ideal_hours,recovery_to_1_5x_ideal_hours,recovery_to_2x_ideal_hours,recovery_to_2_5x_ideal_hours,exhausted_hours,max_derivative_term_seconds,max_interval_delta_vs_current_seconds
30s-1-slot,30,1,300,false,current,current (120 / 1h / 1800),6,5.666667,5.333333,5,0,1.197856,0
30s-1-slot,30,1,300,false,kp-80,Kp 80,10.083333,9.666667,9.333333,8.916667,0,1.582727,1504.46403
30s-1-slot,30,1,300,false,kp-160,Kp 160,4.833333,4.5,4.25,3.916667,0,1.084214,813.850271
30s-1-slot,30,1,300,false,ti-2h,Ti 2h,11.166667,10.75,10.25,9.75,0,0.97914,1568.540894
30s-1-slot,30,1,300,false,ti-half-hour,Ti 0.5h,1.916667,1.666667,1.333333,1.083333,0,1.160506,1678.7337
30s-1-slot,30,1,300,false,kd-900,Kd 900,6,5.666667,5.333333,5,0,0.598928,14.093708
30s-1-slot,30,1,300,false,kd-3600,Kd 3600,6,5.666667,5.333333,5,0,2.394205,25.244501
30s-1-slot,30,1,300,false,weaker-i-stronger-d,Ti 2h + Kd 3600,11.166667,10.75,10.25,9.75,0,2.016453,1568.31467
30s-4-slot,30,4,300,false,current,current (120 / 1h / 1800),6,5.666667,5.333333,5,0,1.197856,0
30s-4-slot,30,4,300,false,kp-80,Kp 80,10.083333,9.666667,9.333333,8.916667,0,1.573982,1504.46403
30s-4-slot,30,4,300,false,kp-160,Kp 160,4.833333,4.5,4.25,3.916667,0,1.096006,813.850271
30s-4-slot,30,4,300,false,ti-2h,Ti 2h,11.166667,10.75,10.25,9.75,0,0.97914,1568.540894
30s-4-slot,30,4,300,false,ti-half-hour,Ti 0.5h,1.916667,1.666667,1.333333,1.083333,0,1.160506,1678.7337
30s-4-slot,30,4,300,false,kd-900,Kd 900,6,5.666667,5.333333,5,0,0.598928,14.093708
30s-4-slot,30,4,300,false,kd-3600,Kd 3600,6,5.666667,5.333333,5,0,2.394205,25.244501
30s-4-slot,30,4,300,false,weaker-i-stronger-d,Ti 2h + Kd 3600,11.166667,10.75,10.25,9.75,0,2.016453,1568.31467
240s-1-slot,240,1,300,false,current,current (120 / 1h / 1800),7.333333,7,6.75,6.416667,0,0.653406,0
240s-1-slot,240,1,300,false,kp-80,Kp 80,11.166667,10.833333,10.5,10.083333,0,0.653464,1562.290551
240s-1-slot,240,1,300,false,kp-160,Kp 160,5.333333,5.083333,4.833333,4.5,0,0.653582,941.640404
240s-1-slot,240,1,300,false,ti-2h,Ti 2h,11.5,11,10.583333,10.083333,0,0.653466,1335.490773
240s-1-slot,240,1,300,false,ti-half-hour,Ti 0.5h,2.666667,2.416667,2.166667,1.916667,0,0.653402,1983.368496
240s-1-slot,240,1,300,false,kd-900,Kd 900,7.333333,7,6.75,6.416667,0,0.326703,25.472127
240s-1-slot,240,1,300,false,kd-3600,Kd 3600,7.333333,7,6.75,6.416667,0,1.306812,26.556077
240s-1-slot,240,1,300,false,weaker-i-stronger-d,Ti 2h + Kd 3600,11.5,11,10.583333,10.083333,0,1.306932,1335.253411
240s-4-slot,240,4,300,false,current,current (120 / 1h / 1800),7,6.666667,6.333333,6.083333,0,1.155539,0
240s-4-slot,240,4,300,false,kp-80,Kp 80,10.583333,10.166667,9.833333,9.416667,0,1.214696,1399.840157
240s-4-slot,240,4,300,false,kp-160,Kp 160,5,4.666667,4.416667,4.083333,0,1.031457,933.666149
240s-4-slot,240,4,300,false,ti-2h,Ti 2h,11.5,11,10.583333,10.083333,0,1.060225,1433.831755
240s-4-slot,240,4,300,false,ti-half-hour,Ti 0.5h,2.166667,1.916667,1.666667,1.333333,0,1.053323,1957.47999
240s-4-slot,240,4,300,false,kd-900,Kd 900,7,6.666667,6.333333,6.083333,0,0.57777,27.463526
240s-4-slot,240,4,300,false,kd-3600,Kd 3600,7,6.666667,6.333333,6,0,2.311079,27.791844
240s-4-slot,240,4,300,false,weaker-i-stronger-d,Ti 2h + Kd 3600,11.5,11,10.583333,10.083333,0,2.11505,1433.591958
600s-1-slot,600,1,300,false,current,current (120 / 1h / 1800),3.583333,3.083333,2.5,1.916667,0,0.698915,0
600s-1-slot,600,1,300,false,kp-80,Kp 80,6.416667,5.75,5.083333,4.416667,0,0.729311,694.537508
600s-1-slot,600,1,300,false,kp-160,Kp 160,2,1.583333,1.166667,0.666667,0,0.703898,721.780528
600s-1-slot,600,1,300,false,ti-2h,Ti 2h,5.833333,4.833333,3.75,2.583333,0,0.729311,1197.805287
600s-1-slot,600,1,300,false,ti-half-hour,Ti 0.5h,2.166667,1.916667,1.583333,1.333333,0,0.661041,2287.989995
600s-1-slot,600,1,300,false,kd-900,Kd 900,3.583333,3.083333,2.5,1.916667,0,0.349457,0.263764
600s-1-slot,600,1,300,false,kd-3600,Kd 3600,3.583333,3.083333,2.5,1.916667,0,1.39783,0.527527
600s-1-slot,600,1,300,false,weaker-i-stronger-d,Ti 2h + Kd 3600,5.833333,4.833333,3.75,2.583333,0,1.458623,1197.981592
600s-4-slot,600,4,300,false,current,current (120 / 1h / 1800),7.583333,7.25,7,6.666667,0,0.606704,0
600s-4-slot,600,4,300,false,kp-80,Kp 80,11.5,11.166667,10.833333,10.5,0,0.606622,1632.634434
600s-4-slot,600,4,300,false,kp-160,Kp 160,5.25,5,4.75,4.416667,0,0.606614,1134.002982
600s-4-slot,600,4,300,false,ti-2h,Ti 2h,11.5,11,10.583333,10.083333,0,0.606633,1277.524421
600s-4-slot,600,4,300,false,ti-half-hour,Ti 0.5h,3.25,3,2.75,2.5,0,0.606583,1958.636749
600s-4-slot,600,4,300,false,kd-900,Kd 900,7.583333,7.25,7,6.666667,0,0.303352,19.64352
600s-4-slot,600,4,300,false,kd-3600,Kd 3600,7.583333,7.25,7,6.666667,0,1.213408,19.706545
600s-4-slot,600,4,300,false,weaker-i-stronger-d,Ti 2h + Kd 3600,11.5,11,10.583333,10.083333,0,1.213266,1277.288957
varcost-4-slot,240,4,300,true,current,current (120 / 1h / 1800),6.166667,5.833333,5.5,5.166667,0,1.112135,0
varcost-4-slot,240,4,300,true,kp-80,Kp 80,9.916667,9.5,9.083333,8.75,0,1.20713,1386.40262
varcost-4-slot,240,4,300,true,kp-160,Kp 160,4.5,4.166667,3.916667,3.583333,0,1.076622,770.844184
varcost-4-slot,240,4,300,true,ti-2h,Ti 2h,11.333333,10.916667,10.416667,9.916667,0,1.081484,1589.906563
varcost-4-slot,240,4,300,true,ti-half-hour,Ti 0.5h,1.666667,1.416667,1.166667,0.833333,0,1.033448,1768.28229
varcost-4-slot,240,4,300,true,kd-900,Kd 900,6.166667,5.833333,5.5,5.166667,0,0.556067,23.64183
varcost-4-slot,240,4,300,true,kd-3600,Kd 3600,6.166667,5.833333,5.5,5.166667,0,2.22427,21.065088
varcost-4-slot,240,4,300,true,weaker-i-stronger-d,Ti 2h + Kd 3600,11.333333,10.916667,10.416667,9.916667,0,2.162969,1589.650535
obs-600s-4-slot,240,4,600,false,current,current (120 / 1h / 1800),12,11.5,11,10.666667,0,1.088717,0
obs-600s-4-slot,240,4,600,false,kp-80,Kp 80,16.166667,15.666667,15.166667,14.5,0,1.165948,1117.319472
obs-600s-4-slot,240,4,600,false,kp-160,Kp 160,9.166667,8.666667,8.333333,7.833333,0,0.970667,931.668865
obs-600s-4-slot,240,4,600,false,ti-2h,Ti 2h,15.5,14.666667,13.833333,13,0,0.684262,1025.789809
obs-600s-4-slot,240,4,600,false,ti-half-hour,Ti 0.5h,7.5,7.166667,6.833333,6.5,0,1.155963,1425.674445
obs-600s-4-slot,240,4,600,false,kd-900,Kd 900,12,11.5,11,10.666667,0,0.544359,35.946004
obs-600s-4-slot,240,4,600,false,kd-3600,Kd 3600,12,11.5,11,10.666667,0,2.177434,36.276795
obs-600s-4-slot,240,4,600,false,weaker-i-stronger-d,Ti 2h + Kd 3600,15.166667,14.333333,13.5,12.666667,0,1.413866,1057.299436
