scenario,seed_offset,candidate,label,exhausted_hours,external_completed,quota_left_week_end_pct,recovery_to_ideal_hours,recovery_to_1_5x_ideal_hours,recovery_to_2x_ideal_hours,recovery_to_2_5x_ideal_hours,max_interval_delta_vs_current_seconds
nominal,0,current,current (120 / 1h / 1800),0,1379,20.45,0,0,0,0,0
nominal,0,kp-80,Kp 80,0,1379,20.45,0,0,0,0,0
nominal,0,kp-160,Kp 160,0,1379,20.45,0,0,0,0,0
nominal,0,ti-2h,Ti 2h,0,1379,20.45,0,0,0,0,0
nominal,0,ti-half-hour,Ti 0.5h,0,1379,20.45,0,0,0,0,0
nominal,0,kd-900,Kd 900,0,1379,20.45,0,0,0,0,0
nominal,0,kd-3600,Kd 3600,0,1379,20.45,0,0,0,0,0
nominal,0,weaker-i-stronger-d,Ti 2h + Kd 3600,0,1379,20.45,0,0,0,0,0
nominal,1,current,current (120 / 1h / 1800),0,1440,15.3,0,0,0,0,0
nominal,1,kp-80,Kp 80,0,1440,15.3,0,0,0,0,22.425828
nominal,1,kp-160,Kp 160,0,1440,15.3,0,0,0,0,22.425828
nominal,1,ti-2h,Ti 2h,0,1440,15.3,0,0,0,0,23.443513
nominal,1,ti-half-hour,Ti 0.5h,0,1440,15.3,0,0,0,0,46.887026
nominal,1,kd-900,Kd 900,0,1440,15.3,0,0,0,0,0.108081
nominal,1,kd-3600,Kd 3600,0,1440,15.3,0,0,0,0,0.216163
nominal,1,weaker-i-stronger-d,Ti 2h + Kd 3600,0,1440,15.3,0,0,0,0,23.56971
nominal,2,current,current (120 / 1h / 1800),0,1506,13.6,0,0,0,0,0
nominal,2,kp-80,Kp 80,0,1506,13.6,0,0,0,0,6.252956
nominal,2,kp-160,Kp 160,0,1506,13.6,0,0,0,0,6.252956
nominal,2,ti-2h,Ti 2h,0,1506,13.6,0,0,0,0,3.878683
nominal,2,ti-half-hour,Ti 0.5h,0,1506,13.6,0,0,0,0,8.630853
nominal,2,kd-900,Kd 900,0,1506,13.6,0,0,0,0,0.073468
nominal,2,kd-3600,Kd 3600,0,1506,13.6,0,0,0,0,0.146936
nominal,2,weaker-i-stronger-d,Ti 2h + Kd 3600,0,1506,13.6,0,0,0,0,3.900882
nominal,3,current,current (120 / 1h / 1800),0,1477,16.8,0,0,0,0,0
nominal,3,kp-80,Kp 80,0,1477,16.8,0,0,0,0,0
nominal,3,kp-160,Kp 160,0,1477,16.8,0,0,0,0,0
nominal,3,ti-2h,Ti 2h,0,1477,16.8,0,0,0,0,0
nominal,3,ti-half-hour,Ti 0.5h,0,1477,16.8,0,0,0,0,0
nominal,3,kd-900,Kd 900,0,1477,16.8,0,0,0,0,0
nominal,3,kd-3600,Kd 3600,0,1477,16.8,0,0,0,0,0
nominal,3,weaker-i-stronger-d,Ti 2h + Kd 3600,0,1477,16.8,0,0,0,0,0
nominal,4,current,current (120 / 1h / 1800),0,1485,14.4,0,0,0,0,0
nominal,4,kp-80,Kp 80,0,1485,14.4,0,0,0,0,0
nominal,4,kp-160,Kp 160,0,1485,14.4,0,0,0,0,0
nominal,4,ti-2h,Ti 2h,0,1485,14.4,0,0,0,0,0
nominal,4,ti-half-hour,Ti 0.5h,0,1485,14.4,0,0,0,0,0
