scenario,candidate,label,kp,ti_seconds,kd,exhausted_hours,first_exhaustion_hour,quota_left_week_end_pct,external_completed,responsive_completed,external_backlog_end,external_backlog_p95,external_backlog_max,external_wait_p95_hours,external_wait_max_hours,mean_interval_seconds,p95_interval_seconds,max_interval_seconds,capped_hours,mean_abs_error_points,interval_step_p95_seconds,max_interval_delta_vs_current_seconds,max_derivative_term_seconds,recovery_to_ideal_hours,recovery_to_1_5x_ideal_hours,recovery_to_2x_ideal_hours,recovery_to_2_5x_ideal_hours
nominal,current,current (120 / 1h / 1800),120,3600,1800,0,,20.45,1379,444,0,0,1,0,0.033333,0,0,0,0,10.700918,0,0,0.44331,0,0,0,0
nominal,kp-80,Kp 80,80,3600,1800,0,,20.45,1379,444,0,0,1,0,0.033333,0,0,0,0,10.700918,0,0,0.44331,0,0,0,0
nominal,kp-160,Kp 160,160,3600,1800,0,,20.45,1379,444,0,0,1,0,0.033333,0,0,0,0,10.700918,0,0,0.44331,0,0,0,0
nominal,ti-2h,Ti 2h,120,7200,1800,0,,20.45,1379,444,0,0,1,0,0.033333,0,0,0,0,10.700918,0,0,0.44331,0,0,0,0
nominal,ti-half-hour,Ti 0.5h,120,1800,1800,0,,20.45,1379,444,0,0,1,0,0.033333,0,0,0,0,10.700918,0,0,0.44331,0,0,0,0
nominal,kd-900,Kd 900,120,3600,900,0,,20.45,1379,444,0,0,1,0,0.033333,0,0,0,0,10.700918,0,0,0.221655,0,0,0,0
nominal,kd-3600,Kd 3600,120,3600,3600,0,,20.45,1379,444,0,0,1,0,0.033333,0,0,0,0,10.700918,0,0,0.886619,0,0,0,0
nominal,weaker-i-stronger-d,Ti 2h + Kd 3600,120,7200,3600,0,,20.45,1379,444,0,0,1,0,0.033333,0,0,0,0,10.700918,0,0,0.886619,0,0,0,0
overload,current,current (120 / 1h / 1800),120,3600,1800,0,,1.2,1083,1168,3506,3321,3508,134.746122,145.119151,950.718795,2668.668517,3326.504417,0,1.095248,27.123161,0,1.166188,0,0,0,0
overload,kp-80,Kp 80,80,3600,1800,0,,0.45,1081,1168,3509,3297,3508,127.835087,145.333333,916.020684,2378.228859,2822.605739,0,1.381661,21.0901,986.521831,1.070675,2.083333,1.416667,0.75,0.083333
overload,kp-160,Kp 160,160,3600,1800,0,,1.1,1081,1168,3509,3308,3507,135.413778,145.289971,879.086915,2791.370829,3676.754556,0,0.784374,28.910888,939.502573,1.140068,14.333333,0,0,0
overload,ti-2h,Ti 2h,120,7200,1800,0,,0.35,1089,1168,3501,3290,3499,128.889834,144.019634,677.936408,1784.511138,2101.365878,0,1.072349,14.96615,1231.294485,0.647415,1.75,0.5,0,0
overload,ti-half-hour,Ti 0.5h,120,1800,1800,0,,0.05,1095,1168,3495,3273,3493,134.155047,143.032963,1242.085891,3679.491728,5002.81818,0,0.875549,45.356298,2172.711957,1.277871,16.083333,15.916667,15.75,15.5
overload,kd-900,Kd 900,120,3600,900,0,,1.2,1083,1168,3506,3321,3508,134.746135,145.119159,949.88636,2668.791553,3326.612132,0,1.092659,26.792683,44.603272,0.583094,0,0,0,0
overload,kd-3600,Kd 3600,120,3600,3600,0,,1.25,1082,1168,3507,3322,3509,134.762758,145.235012,943.967114,2668.422447,3326.288986,0,1.085679,27.065399,77.273644,2.320313,0,0,0,0
overload,weaker-i-stronger-d,Ti 2h + Kd 3600,120,7200,3600,0,,0.4,1088,1168,3502,3291,3500,128.90764,144.270016,676.582002,1784.015061,2100.919091,0,1.068882,14.992976,1231.74736,1.2564,1.75,0.5,0,0
burst-recovery,current,current (120 / 1h / 1800),120,3600,1800,0,,6.9,1496,465,0,849,933,78.577258,81.510782,629.169671,3495.037791,4107.191897,0,0.836327,26.009372,0,1.155539,7,6.666667,6.333333,6.083333
