threshold_x_ideal,candidate,label,seeds,recovery_mean_hours,recovery_min_hours,recovery_max_hours,seeds_faster_than_current,exhausting_runs,total_runs,exhausted_hours_mean,max_interval_delta_vs_current_seconds
1,current,current (120 / 1h / 1800),8,11.645833,7.166667,16,0,3,32,0.264179,0
1,kp-80,Kp 80,8,15.583333,12,19,0,12,32,1.185703,3270.126735
1,kp-160,Kp 160,8,9.270833,4.666667,13.666667,8,4,32,0.531245,4082.585871
1,ti-2h,Ti 2h,8,14.166667,11.166667,17,0,6,32,0.639748,3046.397645
1,ti-half-hour,Ti 0.5h,8,8.895833,3.666667,14.333333,8,3,32,0.573958,8414.849383
1,kd-900,Kd 900,8,11.645833,7.166667,16,0,3,32,0.264175,85.814645
1,kd-3600,Kd 3600,8,11.625,7.166667,16,1,3,32,0.275154,123.825785
1,weaker-i-stronger-d,Ti 2h + Kd 3600,8,14.125,11.166667,17,0,6,32,0.631431,3041.796777
1.5,current,current (120 / 1h / 1800),8,11.25,6.5,15.666667,0,3,32,0.264179,0
1.5,kp-80,Kp 80,8,15.083333,11.5,18.5,0,12,32,1.185703,3270.126735
1.5,kp-160,Kp 160,8,8.916667,4.166667,13.333333,8,4,32,0.531245,4082.585871
1.5,ti-2h,Ti 2h,8,13.333333,10.166667,16.333333,0,6,32,0.639748,3046.397645
1.5,ti-half-hour,Ti 0.5h,8,8.666667,3.333333,14.166667,8,3,32,0.573958,8414.849383
1.5,kd-900,Kd 900,8,11.25,6.5,15.666667,0,3,32,0.264175,85.814645
1.5,kd-3600,Kd 3600,8,11.229167,6.5,15.666667,1,3,32,0.275154,123.825785
1.5,weaker-i-stronger-d,Ti 2h + Kd 3600,8,13.291667,10.166667,16.333333,0,6,32,0.631431,3041.796777
2,current,current (120 / 1h / 1800),8,10.791667,6,15.333333,0,3,32,0.264179,0
2,kp-80,Kp 80,8,14.520833,10.833333,18,0,12,32,1.185703,3270.126735
2,kp-160,Kp 160,8,8.5625,3.666667,13.166667,8,4,32,0.531245,4082.585871
2,ti-2h,Ti 2h,8,12.520833,9.333333,15.666667,0,6,32,0.639748,3046.397645
2,ti-half-hour,Ti 0.5h,8,8.375,3,14,8,3,32,0.573958,8414.849383
2,kd-900,Kd 900,8,10.791667,6,15.333333,0,3,32,0.264175,85.814645
2,kd-3600,Kd 3600,8,10.770833,6,15.333333,1,3,32,0.275154,123.825785
2,weaker-i-stronger-d,Ti 2h + Kd 3600,8,12.479167,9.333333,15.666667,0,6,32,0.631431,3041.796777
2.5,current,current (120 / 1h / 1800),8,10.333333,5.333333,15,0,3,32,0.264179,0
2.5,kp-80,Kp 80,8,13.979167,10.166667,17.666667,0,12,32,1.185703,3270.126735
2.5,kp-160,Kp 160,8,8.1875,3.166667,12.833333,8,4,32,0.531245,4082.585871
2.5,ti-2h,Ti 2h,8,11.708333,8.333333,15,1,6,32,0.639748,3046.397645
2.5,ti-half-hour,Ti 0.5h,8,8.125,2.666667,13.833333,8,3,32,0.573958,8414.849383
2.5,kd-900,Kd 900,8,10.333333,5.333333,15,0,3,32,0.264175,85.814645
2.5,kd-3600,Kd 3600,8,10.3125,5.333333,15,1,3,32,0.275154,123.825785
2.5,weaker-i-stronger-d,Ti 2h + Kd 3600,8,11.666667,8.333333,15,1,6,32,0.631431,3041.796777
