scenario,source,candidate,time_hours,error,interval_seconds,integral,derivative,integral_step_seconds,cycle_changed,observed_interval_seconds,observed_integral
historical,sanitized-historical,current,0.166389,-0.353,35915.533068,1077625.1,-0.000191,300,false,35915,1077625
historical,sanitized-historical,current,0.333333,-0.452,35902.085866,1077489.5,-0.000185,300,false,35902,1077489.3
historical,sanitized-historical,current,0.5,-0.552,35887.62249,1077323.9,-0.00018,300,false,35887,1077323.8
historical,sanitized-historical,current,0.666389,-0.651,35872.179131,1077128.6,-0.000176,300,false,35872,1077128.6
historical,sanitized-historical,current,0.833056,-0.75,35855.752901,1076903.6,-0.000174,300,false,35856,1076903.6
historical,sanitized-historical,current,0.999722,-0.849,35838.341694,1076648.9,-0.000171,300,false,35838,1076648.8
historical,sanitized-historical,current,1.166389,-0.948,35819.944013,1076364.5,-0.00017,300,false,35820,1076364.3
historical,sanitized-historical,current,1.333056,-1.048,35800.526109,1076050.1,-0.000169,300,false,35800,1076050
historical,sanitized-historical,current,1.5,-1.147,35780.125666,1075706,-0.000168,300,false,35780,1075706
historical,sanitized-historical,current,1.666389,-1.246,35758.740636,1075332.2,-0.000167,300,false,35759,1075332.2
historical,sanitized-historical,current,1.833056,-1.345,35736.369621,1074928.7,-0.000167,300,false,35736,1074928.6
historical,sanitized-historical,current,2,-1.444,35713.011584,1074495.5,-0.000166,300,false,35713,1074495.3
historical,sanitized-historical,current,2.166667,-1.544,35688.633006,1074032.3,-0.000166,300,false,35689,1074032.2
historical,sanitized-historical,current,2.286111,-1.613,35664.247081,1073548.4,-0.000165,300,false,35664,1073548.2
historical,sanitized-historical,current,2.333333,-1.643,35642.729617,1073269.09,-0.000166,170,false,35643,1073268.8
historical,sanitized-historical,current,2.434722,-1.702,35620.566862,1072758.49,-0.000165,300,false,35621,1072758.1
historical,sanitized-historical,current,2.499722,-1.742,35599.347609,1072350.862,-0.000166,234,false,35599,1072351.1
historical,sanitized-historical,current,2.601667,-1.802,35577.128365,1071810.262,-0.000166,300,false,35577,1071810.7
historical,sanitized-historical,current,2.666667,-1.841,35555.703927,1071379.468,-0.000166,234,false,35556,1071379.7
historical,sanitized-historical,current,2.768056,-1.901,35533.083201,1070809.168,-0.000166,300,false,35533,1070809.5
historical,sanitized-historical,current,2.833056,-1.94,35511.164596,1070355.208,-0.000166,234,false,35511,1070353.9
historical,sanitized-historical,current,2.906944,-1.98,35489.137527,1069828.528,-0.000164,266,false,35489,1069827.6
historical,sanitized-historical,current,3.018889,-2.05,35465.3914,1069213.528,-0.000166,300,false,35465,1069212.7
historical,sanitized-historical,current,3.185833,-2.149,35439.239393,1068568.828,-0.000165,300,false,35439,1068568.1
historical,sanitized-historical,current,3.352222,-2.248,35411.035392,1067894.428,-0.000165,300,false,35411,1067893.7
historical,sanitized-historical,current,3.52,-2.347,35381.045049,1067190.328,-0.000165,300,false,35381,1067189.5
historical,sanitized-historical,current,3.635556,-2.417,35350.409511,1066465.228,-0.000166,300,false,35350,1066464.5
historical,sanitized-historical,current,3.696389,-2.446,35322.100526,1065929.554,-0.000162,219,false,35322,1065927.9
historical,sanitized-historical,current,3.768889,-2.496,35293.938301,1065278.098,-0.000166,261,false,35294,1065275.4
historical,sanitized-historical,current,3.864167,-2.546,35264.95307,1064514.298,-0.000163,300,false,35265,1064511.7
historical,sanitized-historical,current,3.928333,-2.585,35237.067699,1063917.163,-0.000163,231,false,35237,1063913.9
historical,sanitized-historical,current,4.023056,-2.645,35207.74026,1063123.663,-0.000165,300,false,35208,1063120.5
historical,sanitized-historical,current,4.167778,-2.734,35176.23912,1062303.463,-0.000167,300,false,35176,1062300.2
historical,sanitized-historical,current,4.258056,-2.784,35144.154137,1061468.263,-0.000165,300,false,35144,1061465.1
historical,sanitized-historical,current,4.347778,-2.833,35111.538781,1060618.363,-0.000163,300,false,35111,1060615.1
historical,sanitized-historical,current,4.436111,-2.893,35078.043004,1059750.463,-0.000167,300,false,35078,1059747.3
historical,sanitized-historical,current,4.497222,-2.923,35046.663817,1059107.403,-0.000163,220,false,35047,1059103.7
historical,sanitized-historical,current,4.625,-3.002,35013.253648,1058206.803,-0.000165,300,false,35013,1058203.1
historical,sanitized-historical,current,4.663333,-3.022,34984.121364,1057789.767,-0.000164,138,false,34984,1057784.7
historical,sanitized-historical,current,4.741389,-3.062,34953.903256,1056929.345,-0.000161,281,false,34954,1056923.7
historical,sanitized-historical,current,4.830278,-3.121,34921.665566,1055993.045,-0.000164,300,false,34922,1055987.4
historical,sanitized-historical,current,4.936389,-3.19,34887.441009,1055036.045,-0.000167,300,false,34887,1055030.3
historical,sanitized-historical,current,4.990278,-3.22,34855.667471,1054411.365,-0.000166,194,false,34856,1054407.4
historical,sanitized-historical,current,5.093611,-3.28,34821.837674,1053427.365,-0.000165,300,false,34822,1053423.5
